Date,RIPLEY CC Equity,ECL CC Equity,IAM CC Equity,FALAB CC Equity,QUINENC CC Equity,ENELCHIL CC Equity,CHILE CC Equity,CMPC CC Equity,COLBUN CC Equity,COPEC CC Equity,ENTEL CC Equity,ANDINAB CC Equity,CONCHA CC Equity,CAP CC Equity,ITAUCORP CC Equity,BSAN CC Equity,SONDA CC Equity,SECUR CC Equity,BCI CC Equity,VAPORES CC Equity,AGUAS/A CC Equity,PARAUCO CC Equity,CENCOSUD CC Equity,SMU CC Equity,CCU CC Equity,SQM/B CC Equity,ENELAM CC Equity
1-07-2020,268.02,1100,707.79,2640,1180,62.21,74.89,1682,134.2,5701.8,5491,2018,1270,5459.8,2.042,34.26,540,146.97,25435.94,17.738,287,1490,1190,151.86,6150,21071.91,126.49
2-07-2020,284,1145.5,728.89,2790,1216,65.78,77.1,1737.6,138.5,6090,5615.7,2074,1295.6,5622,2.115,35.34,565.01,146.97,25668.5,18.263,287,1550,1270,154,6210,21900.44,129.47
3-07-2020,292.96,1165.9,726.54,2840,1285.3,65.49,76.84,1740,138.99,6049,5658.4,2109.2,1294.1,5630.7,2.139,35.55,581.71,149.01,26470.67,18.487,288.1,1590,1291,154.15,6220,21870.89,130
6-07-2020,301.86,1196.9,738.55,2835,1339,66.85,78.97,1770.2,140.52,6325,5720,2120,1317.3,5780,2.185,36.1,608.04,153,27039.37,18.937,295,1620,1285,158.8,6370,22392.04,132
7-07-2020,297.1,1215,740,2880,1335.9,67.49,79.01,1738,139.99,6311,5750,2110,1306,5650,2.14,35.62,598,153,26799.53,18.759,297,1605,1292,155,6200.1,21910.29,130.72
8-07-2020,284.5,1195,750,2795,1305.1,66.9,77.8,1730,138.5,6262,5740,2055,1298,5681,2.058,34.97,590,149.89,26163.61,18.712,299.8,1550,1268.2,152.83,6000,21793.06,127.45
9-07-2020,269.95,1140.3,717.43,2689,1279.6,63.4,74.3,1650,134.8,5960,5601,1991.1,1240,5498,1.959,33.75,564.44,145.63,24981.71,17.803,287,1519,1221,149.74,5801,21181.26,123.5
10-07-2020,269.3,1145,718,2645,1271.2,63.1,73.94,1640,135,6050,5455,2018.2,1237.2,5485,2.011,33.9,562.76,146.36,24982.62,18.225,290,1510,1200,147.78,5840,21575.33,123.18
13-07-2020,276.15,1133,732,2705,1271,64.51,74.01,1717,137.5,6307,5679,2050,1270.1,5666,2.029,33.8,584.29,148,25799.32,18.469,297.02,1531,1265,149.7,5948.4,22619.62,123.2
14-07-2020,279.73,1155,727,2780,1275.1,65.24,75.55,1694.9,139.5,6500,5839,2091,1264.5,5900,2.094,34.5,595,149.16,26663.27,18.394,297.11,1499,1331,149,6001.1,23426.48,123.5
15-07-2020,268.27,1119,710,2635,1225,63.3,73.76,1657,136,6208.4,5599,1980,1210,5700,2.019,33.12,570.36,147.21,25300.58,17.785,286.65,1460,1287,146,5801.3,22727.99,120
16-07-2020,268.27,1119,710,2635,1225,63.3,73.76,1657,136,6208.4,5599,1980,1210,5700,2.019,33.12,570.36,147.21,25300.58,17.785,286.65,1460,1287,146,5801.3,22727.99,120
17-07-2020,263,1076,705.59,2540,1213.6,62.61,71.8,1655,134.5,5973,5325,1945,1215,5584,2.224,32.1,570,148,26071.86,17.85,287.5,1450,1260,141,5960,23131.91,118.74
20-07-2020,255.5,1075,690,2415,1178.1,61.5,71.5,1649,134.85,5945,5199.9,1890,1201.2,5350,2.066,31.77,555,145.29,25435.03,17.466,278,1361,1228,139.6,5929,22900.39,117
21-07-2020,246,1052.2,672,2430.6,1179.9,60,71.14,1619,132.5,6098,5250,1899.9,1205,5450,2.131,32.17,560,141.6,25391.42,17.522,272.9,1320,1175.1,139.83,5700,22461,115.5
22-07-2020,248.2,1078,680,2500,1183.4,61,71.29,1640,135,6090,5370,1880,1262,5760,2.139,32.47,576,143,25418.68,17.85,272,1370,1215,138.64,5700,23102.35,117.6
23-07-2020,254.96,1100,674.3,2512.2,1200.9,61.98,72.3,1683,136.5,6270,5370,1880.1,1281.6,5860.1,2.152,32.8,590.04,148.01,25436.85,18.459,265,1375,1201,138,5722,23122.06,119.46
24-07-2020,264.07,1105,687.91,2610.1,1200.3,61.13,73.55,1700,136.5,6200,5490,1859,1298,5855,2.215,32.7,615,149.74,25427.76,18.131,269.13,1390,1200,136.61,5830,23023.54,119.01
27-07-2020,267.31,1120,694.69,2700,1232.9,62.44,74.4,1713,136.5,6267,5555.8,1888,1294,5850,2.319,33.23,634.81,149.56,25581.29,18.469,272.01,1381.4,1290,138,5830,23476.72,118
28-07-2020,265,1120,700,2723.3,1230,63.7,73.06,1700,136.5,6200,5579.8,1914,1291,5830,2.422,33.34,621.56,150.39,25425.95,18.253,272,1374,1300,138.5,5895,23299.39,117
29-07-2020,258,1090,675,2667,1230,63,71.01,1655.4,136.48,6124,5400,1865,1275.2,5779.8,2.521,32.6,604.97,149.35,24691,18.141,268,1335,1290,135.5,5752,23161.46,115.25
30-07-2020,249.1,1100,670,2634.6,1221.6,63,70.51,1625,136,6145,5429,1831,1235,5695,2.474,32.63,595,147.19,24255.85,18.178,264,1280,1290,133.5,5715,22757.54,116.38
31-07-2020,259,1085,660,2700,1240,65,72.68,1677,136.99,6180,5398.2,1900,1260,5700.1,2.482,32.95,610,152,24528.39,18.412,266.14,1295,1319,135.01,5881,22708.28,117.46
3-08-2020,257,1099,655,2694,1240,62.81,70.31,1620,137.56,5980,5101,1870,1300,5870,2.474,32,609.88,150.89,24347.6,19.209,261.52,1321.1,1270,135.94,5675,22610.75,115
4-08-2020,252.9,1100,651,2641,1254.7,62,69.81,1605,134.71,5905,5250,1810,1359,5925,2.423,31.6,596.34,150,24210.43,18.74,258.01,1340,1260,134.52,5650.1,23122.06,114.51
5-08-2020,253,1119.5,650,2635,1254.7,62.2,69.5,1601,133.55,5930,5308,1823.5,1356.7,6040.1,2.395,31.6,605,148.08,23847.04,18.965,260.06,1350,1274.9,133.57,5600,23742.72,113.26
6-08-2020,254.82,1115.5,655.25,2680,1250,62.7,70.5,1630,134,6099,5320,1880,1400,5964.7,2.4,32.08,615.16,150.5,24266.75,18.872,263,1340,1275,134.75,5585,23949.6,112.89
7-08-2020,257.9,1095,661.1,2695,1219.9,63.3,70.62,1682,135.9,6012,5320,1865,1380,6090,2.471,32,620.29,149.86,24413.01,19.93,263,1316,1273,133.92,5700.1,24185.06,114.1
10-08-2020,263.83,1089.1,661.9,2670,1229.7,62,70.01,1675,135.37,6038,5300,1876,1360,6641.9,2.446,31.88,616.64,150.71,24489.32,21.186,263,1317,1245,135.99,5644.8,24903.25,113.1
11-08-2020,268.02,1097.4,667.72,2701,1224.5,61.1,69.49,1698,134,6084,5280,1830.2,1369.9,6689,2.428,31.68,630,154,24120.49,21.083,266.1,1361,1294,136,5511,25221.47,113.56
12-08-2020,267,1078,660,2814.9,1219.9,62.28,69.66,1703,134.5,6179.9,5298,1823.9,1367.8,6764.9,2.391,31.76,645,155.5,24006.02,20.586,268.98,1379,1307.4,134.99,5695,25605.68,114.49
13-08-2020,272.56,1083,659.59,2760,1219.9,61.1,69.7,1658.9,130.9,6080,5280,1809,1358,6599.8,2.354,31.93,639.07,155.5,24502.55,21.074,262,1325,1340,133.56,5670,25013.59,114.61
14-08-2020,274.72,1071.7,657.35,2816.1,1220.1,60.99,69.99,1645.1,134.9,6139,5260,1780.2,1354.4,6719,2.355,32.15,641.66,155.5,24384.22,21.879,263.9,1335,1351.5,132.52,5569,25317.03,113.6
17-08-2020,274.5,1060,662.7,2826,1220.1,60.59,70.91,1695,136.79,6190,5344,1815,1363,6859,2.363,32.65,644.89,157,24994.04,22.076,269,1339.7,1340,132.83,5525,25516.03,111.88
18-08-2020,271.87,1064,661.98,2790,1210.1,60,70.87,1714,133.5,6230,5275,1810.6,1358.8,7118.9,2.279,32.9,640.07,156.75,24981.63,22.114,269.6,1324,1306.9,132,5460,25412.59,110.96
19-08-2020,263.99,1059.8,662.09,2734,1217.1,60.49,69.7,1703,133.5,6220,5216.9,1782.2,1355,7130,2.223,32,620.42,157,24584.63,22.901,265,1304,1292.1,132.05,5425,24822.47,115
20-08-2020,262.26,1050.4,658.91,2695,1217,60.08,69.49,1720,135,6112.1,5150,1800,1356.7,7249,2.256,31.92,615.01,156,24319.32,22.582,263,1297,1285,133.05,5440.5,24984.04,112.6
21-08-2020,256,1057,653.39,2649.9,1210,61,69.59,1750,139.5,6100,5100,1810,1343.5,7130.3,2.335,31.84,615,156.97,24212.43,22.957,262,1295,1286,131.15,5437.2,25023.45,115.4
24-08-2020,251.99,1040,649.92,2660,1220,60.1,68.5,1755,135.8,5984.6,5032,1775.1,1357,7049,2.252,31.52,614.95,155.73,24197.17,22.88,260,1275,1289.9,130,5355,25151.52,114.4
25-08-2020,245,1020,648,2570,1196.5,60.17,67.51,1725,130.03,5859,4908,1735,1329.9,6917.9,2.178,31.25,596.87,153.85,23829.75,22,252,1235,1255,130,5352,24923.94,115
26-08-2020,242.38,1026,647.5,2494.9,1183.1,59.19,66.9,1669.9,127,5747.9,4794,1725,1321.7,6990,2.121,30.75,605,154.87,23533.9,21.98,250.7,1210,1242,125.43,5340,25119.99,116.39
